date,category_grouped,outbreak_subgroup,TOTAL_CASES
2020-11-15,3 Education,SCHOOL - ELEMENTARY,19
2020-11-15,3 Education,SCHOOL - ELEMENTARY/SECONDARY,3
2020-11-15,3 Education,SCHOOL - SECONDARY,5
2020-11-15,4 Workplace,MEDICAL/HEALTH SERVICE,1
2020-11-15,4 Workplace,RETAIL,1
2020-11-15,4 Workplace,WORKPLACE - FOOD PROCESSING,2
2020-11-15,4 Workplace,WORKPLACE - OTHER,49
2020-11-15,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,9
2020-11-15,5 Recreational,OTHER RECREATION,2
2020-11-15,5 Recreational,RECREATIONAL FITNESS,10
2020-11-16,1 Congregate Care,HOSPITAL,11
2020-11-16,1 Congregate Care,LONG-TERM CARE HOME,41
2020-11-16,1 Congregate Care,RETIREMENT HOME,10
2020-11-16,2 Congregate Living,CONGREGATE OTHER,16
2020-11-16,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,5
2020-11-16,3 Education,CHILD CARE,2
2020-11-16,3 Education,SCHOOL - ELEMENTARY,26
2020-11-16,3 Education,SCHOOL - ELEMENTARY/SECONDARY,4
2020-11-16,3 Education,SCHOOL - SECONDARY,8
2020-11-16,4 Workplace,MEDICAL/HEALTH SERVICE,1
2020-11-16,4 Workplace,RETAIL,4
2020-11-16,4 Workplace,WORKPLACE - FARM,4
2020-11-16,4 Workplace,WORKPLACE - FOOD PROCESSING,7
2020-11-16,4 Workplace,WORKPLACE - OTHER,61
2020-11-16,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,4
2020-11-16,5 Recreational,OTHER RECREATION,4
2020-11-16,5 Recreational,RECREATIONAL FITNESS,19
2020-11-17,1 Congregate Care,HOSPITAL,6
2020-11-17,1 Congregate Care,LONG-TERM CARE HOME,99
2020-11-17,1 Congregate Care,RETIREMENT HOME,18
2020-11-17,2 Congregate Living,CONGREGATE OTHER,3
2020-11-17,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,7
2020-11-17,3 Education,CHILD CARE,5
2020-11-17,3 Education,SCHOOL - ELEMENTARY,16
2020-11-17,3 Education,SCHOOL - ELEMENTARY/SECONDARY,6
2020-11-17,3 Education,SCHOOL - SECONDARY,5
2020-11-17,4 Workplace,MEDICAL/HEALTH SERVICE,5
2020-11-17,4 Workplace,RETAIL,1
2020-11-17,4 Workplace,WORKPLACE - FOOD PROCESSING,7
2020-11-17,4 Workplace,WORKPLACE - OTHER,39
2020-11-17,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,1
2020-11-17,5 Recreational,OTHER RECREATION,7
2020-11-17,5 Recreational,RECREATIONAL FITNESS,8
2020-11-18,1 Congregate Care,HOSPITAL,9
2020-11-18,1 Congregate Care,LONG-TERM CARE HOME,54
2020-11-18,1 Congregate Care,RETIREMENT HOME,12
2020-11-18,2 Congregate Living,CONGREGATE OTHER,1
2020-11-18,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,8
2020-11-18,2 Congregate Living,SHELTER,2
2020-11-18,3 Education,CHILD CARE,5
2020-11-18,3 Education,SCHOOL - ELEMENTARY,23
2020-11-18,3 Education,SCHOOL - ELEMENTARY/SECONDARY,8
2020-11-18,3 Education,SCHOOL - SECONDARY,3
2020-11-18,4 Workplace,MEDICAL/HEALTH SERVICE,10
2020-11-18,4 Workplace,RETAIL,1
2020-11-18,4 Workplace,WORKPLACE - FOOD PROCESSING,5
2020-11-18,4 Workplace,WORKPLACE - OTHER,47
2020-11-18,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,4
2020-11-18,5 Recreational,OTHER RECREATION,4
2020-11-18,5 Recreational,RECREATIONAL FITNESS,11
2020-11-19,1 Congregate Care,HOSPITAL,10
2020-11-19,1 Congregate Care,LONG-TERM CARE HOME,67
2020-11-19,1 Congregate Care,RETIREMENT HOME,43
2020-11-19,2 Congregate Living,CONGREGATE OTHER,9
2020-11-19,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,9
2020-11-19,2 Congregate Living,SHELTER,2
2020-11-19,3 Education,CHILD CARE,1
2020-11-19,3 Education,SCHOOL - ELEMENTARY,20
2020-11-19,3 Education,SCHOOL - ELEMENTARY/SECONDARY,4
2020-11-19,3 Education,SCHOOL - POST-SECONDARY,3
2020-11-19,3 Education,SCHOOL - SECONDARY,2
2020-11-19,4 Workplace,MEDICAL/HEALTH SERVICE,5
2020-11-19,4 Workplace,RETAIL,1
2020-11-19,4 Workplace,WORKPLACE - FOOD PROCESSING,6
2020-11-19,4 Workplace,WORKPLACE - OTHER,57
2020-11-19,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,2
2020-11-19,5 Recreational,OTHER RECREATION,8
2020-11-19,5 Recreational,RECREATIONAL FITNESS,8
2020-11-20,1 Congregate Care,HOSPITAL,7
2020-11-20,1 Congregate Care,LONG-TERM CARE HOME,71
2020-11-20,1 Congregate Care,RETIREMENT HOME,16
2020-11-20,2 Congregate Living,CONGREGATE OTHER,9
2020-11-20,2 Congregate Living,CORRECTIONAL FACILITY,1
2020-11-20,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,2
2020-11-20,2 Congregate Living,SHELTER,1
2020-11-20,3 Education,CHILD CARE,2
2020-11-20,3 Education,SCHOOL - ELEMENTARY,56
2020-11-20,3 Education,SCHOOL - ELEMENTARY/SECONDARY,6
2020-11-20,3 Education,SCHOOL - SECONDARY,11
2020-11-20,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-11-20,4 Workplace,RETAIL,6
2020-11-20,4 Workplace,WORKPLACE - FARM,2
2020-11-20,4 Workplace,WORKPLACE - FOOD PROCESSING,7
2020-11-20,4 Workplace,WORKPLACE - OTHER,53
2020-11-20,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,2
2020-11-20,5 Recreational,OTHER RECREATION,5
2020-11-20,5 Recreational,RECREATIONAL FITNESS,4
2020-11-21,1 Congregate Care,HOSPITAL,8
2020-11-21,1 Congregate Care,LONG-TERM CARE HOME,72
2020-11-21,1 Congregate Care,RETIREMENT HOME,15
2020-11-21,2 Congregate Living,CONGREGATE OTHER,5
2020-11-21,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,6
2020-11-21,2 Congregate Living,SHELTER,1
2020-11-21,3 Education,CHILD CARE,3
2020-11-21,3 Education,SCHOOL - ELEMENTARY,36
2020-11-21,3 Education,SCHOOL - ELEMENTARY/SECONDARY,3
2020-11-21,3 Education,SCHOOL - POST-SECONDARY,1
2020-11-21,3 Education,SCHOOL - SECONDARY,8
2020-11-21,4 Workplace,RETAIL,5
2020-11-21,4 Workplace,WORKPLACE - FARM,5
2020-11-21,4 Workplace,WORKPLACE - FOOD PROCESSING,4
2020-11-21,4 Workplace,WORKPLACE - OTHER,51
2020-11-21,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,5
2020-11-21,5 Recreational,OTHER RECREATION,3
2020-11-21,5 Recreational,RECREATIONAL FITNESS,5
2020-11-22,1 Congregate Care,HOSPITAL,14
2020-11-22,1 Congregate Care,LONG-TERM CARE HOME,68
2020-11-22,1 Congregate Care,RETIREMENT HOME,18
2020-11-22,2 Congregate Living,CONGREGATE OTHER,3
2020-11-22,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,7
2020-11-22,2 Congregate Living,SHORT-TERM ACCOMMODATIONS,1
2020-11-22,3 Education,SCHOOL - ELEMENTARY,28
2020-11-22,3 Education,SCHOOL - ELEMENTARY/SECONDARY,4
2020-11-22,3 Education,SCHOOL - POST-SECONDARY,1
2020-11-22,3 Education,SCHOOL - SECONDARY,13
2020-11-22,4 Workplace,MEDICAL/HEALTH SERVICE,1
2020-11-22,4 Workplace,RETAIL,8
2020-11-22,4 Workplace,WORKPLACE - FARM,2
2020-11-22,4 Workplace,WORKPLACE - FOOD PROCESSING,3
2020-11-22,4 Workplace,WORKPLACE - OTHER,40
2020-11-22,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,1
2020-11-22,5 Recreational,RECREATIONAL FITNESS,7
2020-11-23,1 Congregate Care,HOSPITAL,15
2020-11-23,1 Congregate Care,LONG-TERM CARE HOME,65
2020-11-23,1 Congregate Care,RETIREMENT HOME,10
2020-11-23,2 Congregate Living,CONGREGATE OTHER,7
2020-11-23,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,3
2020-11-23,2 Congregate Living,SHELTER,1
2020-11-23,2 Congregate Living,SHORT-TERM ACCOMMODATIONS,1
2020-11-23,3 Education,CHILD CARE,3
2020-11-23,3 Education,SCHOOL - ELEMENTARY,22
2020-11-23,3 Education,SCHOOL - POST-SECONDARY,1
2020-11-23,3 Education,SCHOOL - SECONDARY,5
2020-11-23,4 Workplace,MEDICAL/HEALTH SERVICE,6
2020-11-23,4 Workplace,RETAIL,13
2020-11-23,4 Workplace,WORKPLACE - FARM,7
2020-11-23,4 Workplace,WORKPLACE - FOOD PROCESSING,10
2020-11-23,4 Workplace,WORKPLACE - OTHER,49
2020-11-23,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,3
2020-11-23,5 Recreational,RECREATIONAL FITNESS,6
2020-11-24,1 Congregate Care,HOSPITAL,22
2020-11-24,1 Congregate Care,LONG-TERM CARE HOME,88
2020-11-24,1 Congregate Care,RETIREMENT HOME,14
2020-11-24,2 Congregate Living,CONGREGATE OTHER,7
2020-11-24,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,3
2020-11-24,2 Congregate Living,SHELTER,1
2020-11-24,3 Education,CHILD CARE,5
2020-11-24,3 Education,SCHOOL - ELEMENTARY,24
2020-11-24,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-11-24,3 Education,SCHOOL - SECONDARY,6
2020-11-24,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-11-24,4 Workplace,RETAIL,11
2020-11-24,4 Workplace,WORKPLACE - FARM,7
2020-11-24,4 Workplace,WORKPLACE - FOOD PROCESSING,9
2020-11-24,4 Workplace,WORKPLACE - OTHER,55
2020-11-24,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,4
2020-11-24,5 Recreational,OTHER RECREATION,3
2020-11-24,5 Recreational,RECREATIONAL FITNESS,9
2020-11-25,1 Congregate Care,HOSPITAL,22
2020-11-25,1 Congregate Care,LONG-TERM CARE HOME,97
2020-11-25,1 Congregate Care,RETIREMENT HOME,16
2020-11-25,2 Congregate Living,CONGREGATE OTHER,9
2020-11-25,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,7
2020-11-25,3 Education,CHILD CARE,2
2020-11-25,3 Education,SCHOOL - ELEMENTARY,25
2020-11-25,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-11-25,3 Education,SCHOOL - SECONDARY,7
2020-11-25,4 Workplace,MEDICAL/HEALTH SERVICE,4
2020-11-25,4 Workplace,RETAIL,10
2020-11-25,4 Workplace,WORKPLACE - FARM,3
2020-11-25,4 Workplace,WORKPLACE - FOOD PROCESSING,13
2020-11-25,4 Workplace,WORKPLACE - OTHER,59
2020-11-25,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-11-25,5 Recreational,OTHER RECREATION,6
2020-11-25,5 Recreational,RECREATIONAL FITNESS,4
2020-11-26,1 Congregate Care,HOSPITAL,26
2020-11-26,1 Congregate Care,LONG-TERM CARE HOME,142
2020-11-26,1 Congregate Care,RETIREMENT HOME,19
2020-11-26,2 Congregate Living,CONGREGATE OTHER,3
2020-11-26,2 Congregate Living,CORRECTIONAL FACILITY,2
2020-11-26,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,12
2020-11-26,2 Congregate Living,SHELTER,1
2020-11-26,3 Education,CHILD CARE,2
2020-11-26,3 Education,SCHOOL - ELEMENTARY,29
2020-11-26,3 Education,SCHOOL - SECONDARY,8
2020-11-26,4 Workplace,MEDICAL/HEALTH SERVICE,6
2020-11-26,4 Workplace,RETAIL,8
2020-11-26,4 Workplace,WORKPLACE - FARM,2
2020-11-26,4 Workplace,WORKPLACE - FOOD PROCESSING,14
2020-11-26,4 Workplace,WORKPLACE - OTHER,57
2020-11-26,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,4
2020-11-26,5 Recreational,OTHER RECREATION,1
2020-11-26,5 Recreational,RECREATIONAL FITNESS,4
2020-11-27,1 Congregate Care,HOSPITAL,29
2020-11-27,1 Congregate Care,LONG-TERM CARE HOME,88
2020-11-27,1 Congregate Care,RETIREMENT HOME,14
2020-11-27,2 Congregate Living,CONGREGATE OTHER,8
2020-11-27,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,21
2020-11-27,2 Congregate Living,SHELTER,4
2020-11-27,2 Congregate Living,SHORT-TERM ACCOMMODATIONS,1
2020-11-27,3 Education,CHILD CARE,1
2020-11-27,3 Education,SCHOOL - ELEMENTARY,31
2020-11-27,3 Education,SCHOOL - ELEMENTARY/SECONDARY,2
2020-11-27,3 Education,SCHOOL - SECONDARY,11
2020-11-27,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-11-27,4 Workplace,RETAIL,10
2020-11-27,4 Workplace,WORKPLACE - FARM,1
2020-11-27,4 Workplace,WORKPLACE - FOOD PROCESSING,13
2020-11-27,4 Workplace,WORKPLACE - OTHER,56
2020-11-27,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,8
2020-11-27,5 Recreational,OTHER RECREATION,1
2020-11-27,5 Recreational,RECREATIONAL FITNESS,4
2020-11-28,1 Congregate Care,HOSPITAL,9
2020-11-28,1 Congregate Care,LONG-TERM CARE HOME,157
2020-11-28,1 Congregate Care,RETIREMENT HOME,10
2020-11-28,2 Congregate Living,CONGREGATE OTHER,5
2020-11-28,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,7
2020-11-28,2 Congregate Living,SHORT-TERM ACCOMMODATIONS,1
2020-11-28,3 Education,CHILD CARE,2
2020-11-28,3 Education,SCHOOL - ELEMENTARY,38
2020-11-28,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-11-28,3 Education,SCHOOL - POST-SECONDARY,1
2020-11-28,3 Education,SCHOOL - SECONDARY,3
2020-11-28,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-11-28,4 Workplace,RETAIL,9
2020-11-28,4 Workplace,WORKPLACE - FARM,3
2020-11-28,4 Workplace,WORKPLACE - FOOD PROCESSING,6
2020-11-28,4 Workplace,WORKPLACE - OTHER,53
2020-11-28,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,5
2020-11-28,5 Recreational,OTHER RECREATION,3
2020-11-28,5 Recreational,RECREATIONAL FITNESS,2
2020-11-29,1 Congregate Care,HOSPITAL,25
2020-11-29,1 Congregate Care,LONG-TERM CARE HOME,60
2020-11-29,1 Congregate Care,RETIREMENT HOME,34
2020-11-29,2 Congregate Living,CONGREGATE OTHER,6
2020-11-29,2 Congregate Living,CORRECTIONAL FACILITY,1
2020-11-29,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,11
2020-11-29,2 Congregate Living,SHELTER,1
2020-11-29,3 Education,CHILD CARE,5
2020-11-29,3 Education,SCHOOL - ELEMENTARY,35
2020-11-29,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-11-29,3 Education,SCHOOL - SECONDARY,9
2020-11-29,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-11-29,4 Workplace,RETAIL,10
2020-11-29,4 Workplace,WORKPLACE - FARM,5
2020-11-29,4 Workplace,WORKPLACE - FOOD PROCESSING,11
2020-11-29,4 Workplace,WORKPLACE - OTHER,48
2020-11-29,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,2
2020-11-29,5 Recreational,OTHER RECREATION,3
2020-11-29,5 Recreational,RECREATIONAL FITNESS,1
2020-11-30,1 Congregate Care,HOSPITAL,30
2020-11-30,1 Congregate Care,LONG-TERM CARE HOME,111
2020-11-30,1 Congregate Care,RETIREMENT HOME,15
2020-11-30,2 Congregate Living,CONGREGATE OTHER,9
2020-11-30,2 Congregate Living,CORRECTIONAL FACILITY,1
2020-11-30,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,9
2020-11-30,2 Congregate Living,SHELTER,3
2020-11-30,2 Congregate Living,SHORT-TERM ACCOMMODATIONS,1
2020-11-30,3 Education,CHILD CARE,12
2020-11-30,3 Education,SCHOOL - ELEMENTARY,29
2020-11-30,3 Education,SCHOOL - ELEMENTARY/SECONDARY,3
2020-11-30,3 Education,SCHOOL - POST-SECONDARY,1
2020-11-30,3 Education,SCHOOL - SECONDARY,10
2020-11-30,4 Workplace,MEDICAL/HEALTH SERVICE,4
2020-11-30,4 Workplace,RETAIL,5
2020-11-30,4 Workplace,WORKPLACE - FARM,3
2020-11-30,4 Workplace,WORKPLACE - FOOD PROCESSING,8
2020-11-30,4 Workplace,WORKPLACE - OTHER,47
2020-11-30,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-11-30,5 Recreational,OTHER RECREATION,3
2020-11-30,5 Recreational,RECREATIONAL FITNESS,5
2020-12-01,1 Congregate Care,HOSPITAL,38
2020-12-01,1 Congregate Care,LONG-TERM CARE HOME,119
2020-12-01,1 Congregate Care,RETIREMENT HOME,9
2020-12-01,2 Congregate Living,CONGREGATE OTHER,16
2020-12-01,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,6
2020-12-01,2 Congregate Living,SHELTER,1
2020-12-01,3 Education,CHILD CARE,9
2020-12-01,3 Education,SCHOOL - ELEMENTARY,43
2020-12-01,3 Education,SCHOOL - ELEMENTARY/SECONDARY,3
2020-12-01,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-01,3 Education,SCHOOL - SECONDARY,3
2020-12-01,4 Workplace,MEDICAL/HEALTH SERVICE,6
2020-12-01,4 Workplace,RETAIL,6
2020-12-01,4 Workplace,WORKPLACE - FARM,3
2020-12-01,4 Workplace,WORKPLACE - FOOD PROCESSING,18
2020-12-01,4 Workplace,WORKPLACE - OTHER,72
2020-12-01,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-12-01,5 Recreational,OTHER RECREATION,3
2020-12-01,5 Recreational,RECREATIONAL FITNESS,1
2020-12-02,1 Congregate Care,HOSPITAL,39
2020-12-02,1 Congregate Care,LONG-TERM CARE HOME,69
2020-12-02,1 Congregate Care,RETIREMENT HOME,28
2020-12-02,2 Congregate Living,CONGREGATE OTHER,11
2020-12-02,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,20
2020-12-02,3 Education,CHILD CARE,5
2020-12-02,3 Education,SCHOOL - ELEMENTARY,30
2020-12-02,3 Education,SCHOOL - POST-SECONDARY,2
2020-12-02,3 Education,SCHOOL - SECONDARY,12
2020-12-02,4 Workplace,MEDICAL/HEALTH SERVICE,4
2020-12-02,4 Workplace,RETAIL,5
2020-12-02,4 Workplace,WORKPLACE - FARM,3
2020-12-02,4 Workplace,WORKPLACE - FOOD PROCESSING,21
2020-12-02,4 Workplace,WORKPLACE - OTHER,60
2020-12-02,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-12-02,5 Recreational,OTHER RECREATION,7
2020-12-02,5 Recreational,PERSONAL SERVICE SETTINGS,1
2020-12-02,5 Recreational,RECREATIONAL FITNESS,2
2020-12-03,1 Congregate Care,HOSPITAL,36
2020-12-03,1 Congregate Care,LONG-TERM CARE HOME,131
2020-12-03,1 Congregate Care,RETIREMENT HOME,28
2020-12-03,2 Congregate Living,CONGREGATE OTHER,6
2020-12-03,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,12
2020-12-03,3 Education,CHILD CARE,9
2020-12-03,3 Education,SCHOOL - ELEMENTARY,23
2020-12-03,3 Education,SCHOOL - ELEMENTARY/SECONDARY,2
2020-12-03,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-03,3 Education,SCHOOL - SECONDARY,7
2020-12-03,4 Workplace,MEDICAL/HEALTH SERVICE,4
2020-12-03,4 Workplace,RETAIL,7
2020-12-03,4 Workplace,WORKPLACE - FARM,3
2020-12-03,4 Workplace,WORKPLACE - FOOD PROCESSING,15
2020-12-03,4 Workplace,WORKPLACE - OTHER,60
2020-12-03,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-12-03,5 Recreational,OTHER RECREATION,5
2020-12-04,1 Congregate Care,HOSPITAL,24
2020-12-04,1 Congregate Care,LONG-TERM CARE HOME,103
2020-12-04,1 Congregate Care,RETIREMENT HOME,19
2020-12-04,2 Congregate Living,CONGREGATE OTHER,12
2020-12-04,2 Congregate Living,CORRECTIONAL FACILITY,1
2020-12-04,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,24
2020-12-04,3 Education,CHILD CARE,5
2020-12-04,3 Education,SCHOOL - ELEMENTARY,27
2020-12-04,3 Education,SCHOOL - ELEMENTARY/SECONDARY,4
2020-12-04,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-04,3 Education,SCHOOL - SECONDARY,15
2020-12-04,4 Workplace,MEDICAL/HEALTH SERVICE,3
2020-12-04,4 Workplace,RETAIL,7
2020-12-04,4 Workplace,WORKPLACE - FARM,4
2020-12-04,4 Workplace,WORKPLACE - FOOD PROCESSING,8
2020-12-04,4 Workplace,WORKPLACE - OTHER,67
2020-12-04,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,3
2020-12-04,5 Recreational,OTHER RECREATION,27
2020-12-04,5 Recreational,RECREATIONAL FITNESS,1
2020-12-05,1 Congregate Care,HOSPITAL,38
2020-12-05,1 Congregate Care,LONG-TERM CARE HOME,120
2020-12-05,1 Congregate Care,RETIREMENT HOME,35
2020-12-05,2 Congregate Living,CONGREGATE OTHER,3
2020-12-05,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,28
2020-12-05,3 Education,CHILD CARE,5
2020-12-05,3 Education,SCHOOL - ELEMENTARY,36
2020-12-05,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-12-05,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-05,3 Education,SCHOOL - SECONDARY,11
2020-12-05,4 Workplace,MEDICAL/HEALTH SERVICE,1
2020-12-05,4 Workplace,RETAIL,6
2020-12-05,4 Workplace,WORKPLACE - FARM,8
2020-12-05,4 Workplace,WORKPLACE - FOOD PROCESSING,16
2020-12-05,4 Workplace,WORKPLACE - OTHER,76
2020-12-05,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,7
2020-12-05,5 Recreational,OTHER RECREATION,6
2020-12-05,5 Recreational,RECREATIONAL FITNESS,3
2020-12-06,1 Congregate Care,HOSPITAL,37
2020-12-06,1 Congregate Care,LONG-TERM CARE HOME,77
2020-12-06,1 Congregate Care,RETIREMENT HOME,29
2020-12-06,2 Congregate Living,CONGREGATE OTHER,5
2020-12-06,2 Congregate Living,CORRECTIONAL FACILITY,4
2020-12-06,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,6
2020-12-06,2 Congregate Living,SHELTER,2
2020-12-06,3 Education,CHILD CARE,9
2020-12-06,3 Education,SCHOOL - ELEMENTARY,31
2020-12-06,3 Education,SCHOOL - ELEMENTARY/SECONDARY,42
2020-12-06,3 Education,SCHOOL - SECONDARY,10
2020-12-06,4 Workplace,RETAIL,8
2020-12-06,4 Workplace,WORKPLACE - FARM,4
2020-12-06,4 Workplace,WORKPLACE - FOOD PROCESSING,13
2020-12-06,4 Workplace,WORKPLACE - OTHER,59
2020-12-06,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,6
2020-12-06,5 Recreational,OTHER RECREATION,14
2020-12-06,5 Recreational,PERSONAL SERVICE SETTINGS,1
2020-12-06,5 Recreational,RECREATIONAL FITNESS,2
2020-12-07,1 Congregate Care,HOSPITAL,36
2020-12-07,1 Congregate Care,LONG-TERM CARE HOME,86
2020-12-07,1 Congregate Care,RETIREMENT HOME,29
2020-12-07,2 Congregate Living,CONGREGATE OTHER,2
2020-12-07,2 Congregate Living,CORRECTIONAL FACILITY,2
2020-12-07,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,6
2020-12-07,3 Education,CHILD CARE,12
2020-12-07,3 Education,SCHOOL - ELEMENTARY,34
2020-12-07,3 Education,SCHOOL - SECONDARY,5
2020-12-07,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-12-07,4 Workplace,RETAIL,9
2020-12-07,4 Workplace,WORKPLACE - FARM,6
2020-12-07,4 Workplace,WORKPLACE - FOOD PROCESSING,11
2020-12-07,4 Workplace,WORKPLACE - OTHER,41
2020-12-07,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,2
2020-12-07,5 Recreational,OTHER RECREATION,9
2020-12-07,5 Recreational,RECREATIONAL FITNESS,1
2020-12-08,1 Congregate Care,HOSPITAL,44
2020-12-08,1 Congregate Care,LONG-TERM CARE HOME,88
2020-12-08,1 Congregate Care,RETIREMENT HOME,40
2020-12-08,2 Congregate Living,CONGREGATE OTHER,9
2020-12-08,2 Congregate Living,CORRECTIONAL FACILITY,5
2020-12-08,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,10
2020-12-08,2 Congregate Living,SHELTER,1
2020-12-08,3 Education,CHILD CARE,8
2020-12-08,3 Education,SCHOOL - ELEMENTARY,21
2020-12-08,3 Education,SCHOOL - ELEMENTARY/SECONDARY,1
2020-12-08,3 Education,SCHOOL - SECONDARY,21
2020-12-08,4 Workplace,RETAIL,29
2020-12-08,4 Workplace,WORKPLACE - FARM,18
2020-12-08,4 Workplace,WORKPLACE - FOOD PROCESSING,12
2020-12-08,4 Workplace,WORKPLACE - OTHER,56
2020-12-08,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,5
2020-12-08,5 Recreational,OTHER RECREATION,6
2020-12-08,5 Recreational,RECREATIONAL FITNESS,3
2020-12-09,1 Congregate Care,HOSPITAL,28
2020-12-09,1 Congregate Care,LONG-TERM CARE HOME,79
2020-12-09,1 Congregate Care,RETIREMENT HOME,51
2020-12-09,2 Congregate Living,CONGREGATE OTHER,11
2020-12-09,2 Congregate Living,CORRECTIONAL FACILITY,4
2020-12-09,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,6
2020-12-09,2 Congregate Living,SHELTER,1
2020-12-09,3 Education,CHILD CARE,5
2020-12-09,3 Education,SCHOOL - ELEMENTARY,34
2020-12-09,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-09,3 Education,SCHOOL - SECONDARY,6
2020-12-09,4 Workplace,MEDICAL/HEALTH SERVICE,1
2020-12-09,4 Workplace,RETAIL,12
2020-12-09,4 Workplace,WORKPLACE - FARM,4
2020-12-09,4 Workplace,WORKPLACE - FOOD PROCESSING,30
2020-12-09,4 Workplace,WORKPLACE - OTHER,64
2020-12-09,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,6
2020-12-09,5 Recreational,OTHER RECREATION,22
2020-12-10,1 Congregate Care,HOSPITAL,45
2020-12-10,1 Congregate Care,LONG-TERM CARE HOME,116
2020-12-10,1 Congregate Care,RETIREMENT HOME,60
2020-12-10,2 Congregate Living,CONGREGATE OTHER,3
2020-12-10,2 Congregate Living,CORRECTIONAL FACILITY,18
2020-12-10,2 Congregate Living,GROUP HOME/SUPPORTIVE HOUSING,10
2020-12-10,3 Education,CHILD CARE,2
2020-12-10,3 Education,SCHOOL - ELEMENTARY,31
2020-12-10,3 Education,SCHOOL - POST-SECONDARY,1
2020-12-10,3 Education,SCHOOL - SECONDARY,11
2020-12-10,4 Workplace,MEDICAL/HEALTH SERVICE,2
2020-12-10,4 Workplace,RETAIL,20
2020-12-10,4 Workplace,WORKPLACE - FARM,3
2020-12-10,4 Workplace,WORKPLACE - FOOD PROCESSING,20
2020-12-10,4 Workplace,WORKPLACE - OTHER,64
2020-12-10,5 Recreational,BAR/RESTAURANT/NIGHTCLUB,2
